Sammy@HQQ MINGW64 ~/repos/CSMC_35200_BraintoTextGroup/neural_seq_decoder (master)
$ python ./scripts/train_model.py
C:\Users\Sammy\AppData\Roaming\Python\Python312\site-packages\torch\functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\TensorShape.cpp:4324.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
C:\Users\Sammy\repos\CSMC_35200_BraintoTextGroup\neural_seq_decoder\src\neural_decoder\augmentations.py:91: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\Convolution.cpp:1028.)
  return self.conv(input, weight=self.weight, groups=self.groups, padding="same")
C:\Users\Sammy\repos\CSMC_35200_BraintoTextGroup\neural_seq_decoder\src\neural_decoder\neural_decoder_trainer.py:177: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  torch.tensor(pred[iterIdx, 0 : adjustedLens[iterIdx], :]),
batch 0, ctc loss: 5.912408, cer: 0.961537, time/batch:   0.074
batch 100, ctc loss: 2.828450, cer: 0.820106, time/batch:   0.303
batch 200, ctc loss: 2.463204, cer: 0.703685, time/batch:   0.316
batch 300, ctc loss: 2.245719, cer: 0.618546, time/batch:   0.324
batch 400, ctc loss: 2.062904, cer: 0.571953, time/batch:   0.333
batch 500, ctc loss: 1.970159, cer: 0.537617, time/batch:   0.347
batch 600, ctc loss: 1.886602, cer: 0.509265, time/batch:   0.351
batch 700, ctc loss: 1.801139, cer: 0.497256, time/batch:   0.914
batch 800, ctc loss: 1.743017, cer: 0.480830, time/batch:   0.597
batch 900, ctc loss: 1.672436, cer: 0.470430, time/batch:   0.592
batch 1000, ctc loss: 1.609295, cer: 0.449837, time/batch:   0.593
