Sammy@HQQ MINGW64 ~/repos/CSMC_35200_BraintoTextGroup/neural_seq_decoder (master)
$ python scripts/train_transformer.py
C:\Users\Sammy\AppData\Roaming\Python\Python312\site-packages\torch\functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\TensorShape.cpp:4324.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
C:\Users\Sammy\AppData\Roaming\Python\Python312\site-packages\torch\nn\modules\transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
C:\Users\Sammy\repos\CSMC_35200_BraintoTextGroup\neural_seq_decoder\src\neural_decoder\augmentations.py:91: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\Convolution.cpp:1028.)
  return self.conv(input, weight=self.weight, groups=self.groups, padding="same")
C:\Users\Sammy\repos\CSMC_35200_BraintoTextGroup\neural_seq_decoder\src\neural_decoder\neural_decoder_trainer.py:216: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  torch.tensor(pred[iterIdx, 0 : test_output_lengths[iterIdx], :]),
batch 0, ctc loss: 16.847097, cer: 0.963683, time/batch:   0.030
batch 100, ctc loss: 3.576936, cer: 0.795056, time/batch:   0.061
batch 200, ctc loss: 3.210567, cer: 0.834056, time/batch:   0.057
batch 300, ctc loss: 3.057711, cer: 0.784285, time/batch:   0.058
batch 400, ctc loss: 2.948054, cer: 0.770748, time/batch:   0.061
batch 500, ctc loss: 2.866540, cer: 0.741447, time/batch:   0.059
batch 600, ctc loss: 2.743485, cer: 0.743304, time/batch:   0.059
batch 700, ctc loss: 2.830586, cer: 0.665057, time/batch:   0.063
batch 800, ctc loss: 2.546917, cer: 0.658949, time/batch:   0.063
batch 900, ctc loss: 2.422053, cer: 0.625232, time/batch:   0.064
batch 1000, ctc loss: 2.308612, cer: 0.595931, time/batch:   0.062
batch 1100, ctc loss: 2.172674, cer: 0.584994, time/batch:   0.063
batch 1200, ctc loss: 2.158299, cer: 0.577814, time/batch:   0.066
batch 1300, ctc loss: 2.050105, cer: 0.591515, time/batch:   0.062
batch 1400, ctc loss: 1.972224, cer: 0.561718, time/batch:   0.063
batch 1500, ctc loss: 1.950509, cer: 0.540465, time/batch:   0.064
batch 1600, ctc loss: 1.926709, cer: 0.531550, time/batch:   0.066
batch 1700, ctc loss: 1.898608, cer: 0.546242, time/batch:   0.063
batch 1800, ctc loss: 1.854981, cer: 0.519665, time/batch:   0.064
batch 1900, ctc loss: 1.823261, cer: 0.512195, time/batch:   0.065
batch 2000, ctc loss: 1.773059, cer: 0.503198, time/batch:   0.064
batch 2100, ctc loss: 1.755380, cer: 0.483265, time/batch:   0.064
batch 2200, ctc loss: 1.770831, cer: 0.497214, time/batch:   0.065
